年度,鄉鎮,段名,地號,公告土地現值
112,2,18,7150000,4300
112,2,18,7160000,4300
112,2,18,7160001,4300
112,2,18,7170000,4300
112,2,18,7180000,4300
112,2,18,7180001,4300
112,2,18,7190000,4300
112,2,18,7200000,4300
112,2,18,7200001,4300
112,2,18,7210000,4300
112,2,18,7220000,4300
112,2,18,7280000,4300
112,2,18,7290000,4300
112,2,18,7300000,4300
112,2,18,7310000,4300
112,2,18,7320000,4300
112,2,18,7330000,4300
112,2,18,7340000,4300
112,2,18,7350000,4300
112,2,18,7360000,4500
112,2,18,7360001,3513
112,2,18,7370000,4500
112,2,18,7370001,3513
112,2,18,7380000,4300
112,2,18,7390000,4300
112,2,18,7400000,4300
112,2,18,7410000,4300
112,2,18,7420000,4300
112,2,18,7430000,4300
112,2,18,7440000,4300
112,2,18,7440001,4300
112,2,18,7450000,4300
112,2,18,7520000,4300
112,2,18,7530000,4300
112,2,18,7540000,4300
112,2,18,7550000,4300
112,2,18,7560000,4300
112,2,18,7570000,4300
112,2,18,7580000,4300
112,2,18,7580001,4300
112,2,18,7590000,4300
112,2,18,7600000,4500
112,2,18,7600001,3513
112,2,18,7610000,4500
112,2,18,7610001,3513
112,2,18,7620000,4300
112,2,18,7630000,4300
112,2,18,7640000,4300
112,2,18,7650000,4300
112,2,18,7660000,4300
112,2,18,7670000,4300
112,2,18,7680000,4300
112,2,18,7690000,4300
112,2,18,7760000,4300
112,2,18,7770000,4300
112,2,18,7780000,4300
112,2,18,7790000,4300
112,2,18,7800000,4300
112,2,18,7810000,4300
112,2,18,7820000,4300
112,2,18,7820001,4300
112,2,18,7830000,4300
112,2,18,7840000,4500
112,2,18,7840001,3513
112,2,18,7850000,4500
112,2,18,7850001,3513
112,2,18,7860000,4300
112,2,18,7870000,4300
112,2,18,7880000,4300
112,2,18,7890000,4300
112,2,18,7900000,4300
112,2,18,7910000,4300
112,2,18,7920000,4300
112,2,18,8010000,4300
112,2,18,8020000,4300
112,2,18,8030000,4300
112,2,18,8040000,4300
112,2,18,8050000,4300
112,2,18,8060000,4300
112,2,18,8070000,4300
112,2,18,8080000,4500
112,2,18,8080001,3513
112,2,18,8090000,4500
112,2,18,8090001,4500
112,2,18,8090002,3513
112,2,18,8090003,3513
112,2,18,8100000,4300
112,2,18,8100001,2000
112,2,18,8100002,3513
112,2,18,8110000,4300
112,2,18,8110001,4300
112,2,18,8120000,4300
112,2,18,8120001,4300
112,2,18,8130000,4300
112,2,18,8130001,4300
112,2,18,8140000,4300
112,2,18,8140001,4300
112,2,18,8150000,4300
112,2,18,8160000,4300
112,2,18,8160001,4321
112,2,18,8160002,3513
112,2,18,8220000,4100
112,2,18,8240001,4100
112,2,18,8250000,4100
112,2,18,8250001,4100
112,2,18,8260000,4100
112,2,18,8270000,4100
112,2,18,8270001,4100
112,2,18,8280000,4100
112,2,18,8290000,4100
112,2,18,8300000,4100
112,2,18,8310000,4100
112,2,18,8310001,4100
112,2,18,8320000,4100
112,2,18,8330000,4100
112,2,18,8330001,4100
112,2,18,8340000,4100
112,2,18,8350000,4100
112,2,18,8360000,4100
112,2,18,8370000,4100
112,2,18,8380000,4100
112,2,18,8390000,4100
112,2,18,8400000,4100
112,2,18,8410000,4100
112,2,18,8420000,4100
